intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100
106,-0.152292768,-0.093518258,-0.034743748,-0.200838697,-0.122985916,-0.045133135,-0.196653451,-0.085125481,0.0264024899,-0.242893915,-0.082644648,0.0776046194,-0.501325805,-0.29497833,-0.088630855
107,-0.157873661,-0.098584008,-0.039294355,-0.213522852,-0.133217588,-0.052912325,-0.199281314,-0.08573886,0.0278035938,-0.256889951,-0.095064381,0.0667611887,-0.524216087,-0.315881389,-0.10754669
108,-0.16518195,-0.105248531,-0.045315113,-0.228098089,-0.145194188,-0.062290287,-0.206075834,-0.090503709,0.0250684166,-0.270181623,-0.1060356,0.0581104231,-0.523849049,-0.313087834,-0.102326618
109,-0.16952691,-0.108787867,-0.048048825,-0.237983208,-0.152355325,-0.066727442,-0.204808304,-0.089969507,0.0248692895,-0.277386757,-0.111376802,0.0546331529,-0.539628755,-0.323293659,-0.106958564
110,-0.174823011,-0.112763772,-0.050704533,-0.251324303,-0.161830872,-0.072337441,-0.213799724,-0.094934207,0.0239313095,-0.281186097,-0.112136283,0.0569135315,-0.561892263,-0.343975553,-0.126058844
111,-0.178131164,-0.114848922,-0.05156668,-0.257630372,-0.166644493,-0.075658614,-0.215802262,-0.096545042,0.0227121781,-0.289463653,-0.117769836,0.0539239822,-0.572871742,-0.350787701,-0.12870366
112,-0.181371435,-0.116963419,-0.052555404,-0.263412897,-0.169786031,-0.076159165,-0.21735271,-0.097632527,0.0220876566,-0.294445218,-0.121237174,0.0519708706,-0.585823252,-0.360997554,-0.136171855
113,-0.185642743,-0.120357679,-0.055072615,-0.264456988,-0.170538568,-0.076620149,-0.216427803,-0.096768624,0.022890555,-0.307506236,-0.132141266,0.043223703,-0.605964491,-0.378342022,-0.150719554
114,-0.192380784,-0.12669732,-0.061013855,-0.2697137,-0.174815662,-0.079917623,-0.221698774,-0.10078148,0.0201358134,-0.318441707,-0.141695873,0.0350499603,-0.616080988,-0.385324422,-0.154567855
115,-0.195022283,-0.129152988,-0.063283694,-0.267701899,-0.173819009,-0.079936118,-0.224510633,-0.103017449,0.0184757339,-0.326351077,-0.14975215,0.026846778,-0.633147948,-0.401224854,-0.169301761
116,-0.195588543,-0.129941355,-0.064294166,-0.267040237,-0.172532291,-0.078024345,-0.223433696,-0.103286674,0.0168603476,-0.334753345,-0.157396343,0.0199606593,-0.642235288,-0.409472097,-0.176708905
117,-0.199586409,-0.133892386,-0.068198363,-0.262613194,-0.170509653,-0.078406112,-0.227518334,-0.107231377,0.0130555806,-0.347608816,-0.168812595,0.0099836266,-0.651129876,-0.411877487,-0.172625099
118,-0.200040657,-0.134311067,-0.068581477,-0.26397551,-0.172026682,-0.080077853,-0.232648873,-0.112974786,0.0066993007,-0.358071624,-0.178070688,0.0019302473,-0.666831213,-0.42624266,-0.185654107
119,-0.200843173,-0.135012369,-0.069181565,-0.257549269,-0.166878493,-0.076207718,-0.234520708,-0.113929546,0.0066616174,-0.373656695,-0.190949142,-0.008241589,-0.696701011,-0.451282946,-0.20586488
120,-0.205439243,-0.13950722,-0.073575196,-0.25885737,-0.168576971,-0.078296572,-0.247221402,-0.125297375,-0.003373348,-0.396769697,-0.212042487,-0.027315278,-0.723484818,-0.472941976,-0.222399135
